Extension:      Description:                              Used tool(s):
.otg            OpenDocument Graphic Template             [unzip|7z]
.oth            OpenDocument HTML Template                [unzip|7z]
.otp            OpenDocument Presentation Template        [unzip|7z]
.ots            OpenDocument Spreadsheet Template         [unzip|7z]
.ott            OpenDocument Document Template            [unzip|7z]
.ova            Open Virtual Appliance                    [tar]
.ovp            The Overlay Maker Package File            [unzip|7z]
.oxt            Apache OpenOffice Extension               [unzip|7z]
.p2s            PCSX2 Saved State                         [unzip|7z]
.pack           Pack200 Packed Jar File                   [unpack200]
.package        Linux Autopackage File                    [g(un)zip+tar+{b(un)zip2|(un)lzma}+<internal>]
.pak            Video Game Package                        [unzip|7z]
.paq8l          Paq8l Compressed Archive                  [paq8l]
.paq8n          Paq8n Compressed Archive                  [paq8n]
.paq8o          Paq8o Compressed Archive                  [paq8o]
.par            Perl Package                              [unzip|7z]
.pat            DiskStation Manager Installation File     [tar]
.pbp            PSP Firmware Update File                  [<internal>]
.pcv            MozBackup profile backup                  [unzip|7z]
.pdf            Portable Document Format File             [pdftotext+pdfimages+pdfdetach]
.pet            Puppy Linux Package                       [tar+{g(un)zip|(un)xz}]
.pfs            Package SFS (PuppyRus)                    [unsquashfs]
.pigm           Packaged Indigo Renderer Material File    [unzip|7z]
.pigs           Packaged Indigo Renderer Scene File       [unzip|7z]
.pisi           Pardus Linux Package                      [unzip+(un)xz+tar]
.piz            Renamed .zip                              [unzip|7z]
.pk3            Quake 3 Engine Game Data File             [unzip|7z]
.pk4            Doom 3 Engine Game Data File              [unzip|7z]
.pkg            Mac OS X Installer Package                [7z+g(un)zip+cpio]
.pmlz           Zipped Palm Markup Language File          [unzip|7z]
.potx           PowerPoint Open XML Presentation Template [unzip|7z]
.pptx           PowerPoint Open XML Presentation          [unzip|7z]
.psz            Gzipped PostScript File                   [g(un)zip]
.pup            Puppy Linux Package                       [unzip|7z]
.pvga           Insightpoint Image                        [unzip|7z]
.qcow           QEMU Copy On Write Disk Image             [qemu-nbd+{gdisk|fdisk}+{crypysetup}+mount|7z]
.qcow2          QEMU Copy On Write Version 2 Disk Image   [qemu-nbd+{gdisk|fdisk}+{crypysetup}+mount|7z]
.qpk            QNX Package                               [g(un)zip+tar]
.qpr            QNX Package Archive                       [g(un)zip+tar]
.quad           Quad Compressed File                      [quad]
.quiz           Quobject Quiz Package                     [unzip|7z]
.r[0-9]         WinRAR Compressed Multi-Part Archive      [(un)rar|7z]
.r[0-9][0-9]    WinRAR Compressed Multi-Part Archive      [(un)rar|7z]
.rar            WinRAR Compressed Archive                 [(un)rar|7z]
.rar5           WinRAR Compressed Archive                 [(un)rar|7z]
.rmskin         Rainmeter Skin File                       [unzip|7z]
.rpm            Red Hat Package Manager File              [{rpm2cpio+{(un)xz}|7z}+cpio|exploderpm]
.rsn            SNES Sound Archive                        [(un)rar|7z]
.rub            Rubix Package                             [g(un)zip+tar]
.run            Self-Extracting Archive                   [mount|{tar+{g(un)zip|b(un)zip2|(un)xz|(un)compress}}]
.rz             Rzip Compressed File                      [r(un)zip]
.s3z            Compressed Scream Tracker 3 Module        [unzip|7z]
.safariextz     Apple Safari Extension Package            [7z]
.sam            Samurize Package                          [unzip|7z]
.sb             Slax Module                               [unsquashfs]
.scm            TinyCore Extension                        [unsquashfs]
.scr            Windows Screensaver                       [7z]
.sdk            NuFile Archive (apple ][) Data            [nulib|nulib2]
.sdz            NCI Compressed Database                   [g(un)zip]
.sdz            Spring Content Package                    [unzip|7z]
.sfe            Scrypt Encrypted File                     [scrypt]
.sfg            Synfig Studio Compressed Project          [unzip|7z]
.sfs            Squashfs File Archive                     [unsquashfs]
.sfx            Self-Extracting Archive                   [7z]
.sh             Self-Extracting Archive                   [mount|{tar+{g(un)zip|b(un)zip2|(un)xz|(un)compress}}]
.sh2            NuFile Archive (apple ][) Data            [nulib|nulib2]
.shar           Unix Shar Archive                         [self-execute]
.shk            NuFile Archive (apple ][) Data            [nulib|nulib2]
.shr            Unix Shar Archive                         [self-execute]
.sifz           Synfig Studio Compressed Project          [g(un)zip]
.sle            Sisulizer Package File                    [unzip|7z]
.slm            Salix Module                              [unsquashfs]
.slp            Stampede Linux Package                    [b(un)zip2]
.smzip          StepMania Package                         [unzip|7z]
.snap           Snap Package                              [unsquashfs]
.snappy         Snappy/Snzip Compressed File              [snzip]
.snz            Snappy/Snzip Compressed File              [snzip]
.sz             Snappy/Snzip Compressed File              [snzip]
.sob            OpenOffice.org Impress Bimap Styles File  [unzip|7z]
.sox            SoftMaker Hunspell Dictionary             [unzip|7z]
.spack          0linux package                            [(un)xz+cpio]
.spk            Synology Package                          [g(un)zip+tar]
.spm            Red Hat Package Manager File              [exploderpm|{rpm2cpio|7z}+cpio]
.sqf            Squashfs File System File                 [unsquashfs]
.sqfs           Squashfs File System File                 [unsquashfs]
.sqsh           Squashfs File System File                 [unsquashfs]
.squashfs       Squashfs File System File                 [unsquashfs]
.srm            SystemRescueCd Module                     [unsquashfs]
.stc            StarOffice Calc Spreadsheet Template      [unzip|7z]
.std            Apache OpenOffice Drawing Template        [unzip|7z]
.sti            StarOffice Presentation Template          [unzip|7z]
.studyarch      The Study Archive Format                  [unzip|7z]
.stw            StarOffice Document Template              [unzip|7z]
.styx           WPS Office Arttext Preset                 [unzip|7z]
.sue            Compressed File Archive                   [(un)arc|nomarch]
.svgz           Compressed SVG File                       [g(un)zip]
.swf            Shockwave Flash Movie                     [swfextract]
.swm            Split Windows Imaging Format File         [7z]
.sxc            StarOffice Calc Spreadsheet               [unzip|7z]
.sxd            StarOffice Drawing                        [unzip|7z]
.sxg            Apache OpenOffice Master Document         [unzip|7z]
.sxi            StarOffice Impress Presentation           [unzip|7z]
.sxm            StarMath Formula                          [unzip|7z]
.sxw            StarOffice Writer Document                [unzip|7z]
.sys            Windows System File                       [7z]
.tar            POSIX Tar Archive                         [tar]
.tar.7z         7z Compressed Tar Archive                 [7z+tar]
.tar.bz         Bzip Compressed Tar Archive               [b(un)zip2+tar]
.tar.bzip       Bzip Compressed Tar Archive               [b(un)zip2+tar]
.tar.bz2        Bzip2 Compressed Tar Archive              [b(un)zip2+tar]
.tar.bzip2      Bzip2 Compressed Tar Archive              [b(un)zip2+tar]
.tar.f          Freeze Compressed Tar Archive             [(un)freeze+tar]
.tar.gz         Gzip Compressed Tar Archive               [g(un)zip+tar]
.tar.gz2        Misnamed tar.bz2 file                     [b(un)zip2+tar]
.tar.lz         Lzip Compressed Tar Archive               [lzip+tar]
.tar.lz4        Lz4 Compressed Tar Archive                [lz4+tar]
.tar.lzma       LZMA Compressed Tar Archive               [(un)lzma+tar]
.tar.lzo        LZO Compressed Tar Archive                [(un)lzop+tar]
.tar.md5        Android System File                       [tar]
.tar.xz         XZ Compressed Tar Archive                 [(un)xz+tar]
.tar.z          Z Compressed Tar Archive                  [(un)compress+tar]
.tar.zip        ZIP Compressed Tar Archive                [{unzip|7z}+tar]
.tardist        TAR Distribution Archive                  [tar]
.tarz           Z Compressed Tar Archive                  [(un)compress+tar]
.taz            Z Compressed Tar Archive                  [(un)compress+tar]
.tazpkg         SliTaz Package                            [(un)lzma+cpio]
.tb2            Bzip2 Compressed Tar Archive              [b(un)zip2+tar]
.tbz            Bzip Compressed Tar Archive               [b(un)zip2+tar]
.tbz2           Bzip2 Compressed Tar Archive              [b(un)zip2+tar]
.tc             TrueCrypt Volume                          [truecrypt]
.tcz            TinyCore Package                          [unsquashfs]
.tg             Gzip Compressed Tar Archive               [g(un)zip+tar]
.tgz            Gzip Compressed Tar Archive               [g(un)zip+tar]
.themepack      Windows 7 Theme Pack                      [7z]
.thm            Sony Ericsson Theme File                  [tar]
.thmx           Office 2007 Theme File                    [unzip+7z]
.tlz            Lzip Compressed Tar Archive               [lzip+tar]
.tlzma          LZMA Compressed Tar Archive               [(un)lzma+tar]
.tnef           Transport Neutral Encapsulation Format    [tnef]
.tor            Tornado Single File Compressor            [tor]
.tpkg           KISS '.tpkg' archive                      [(un)xz+tar]
.ts             Video Transport Stream File               [avconv|ffmpeg]
.tsk            Pocket PC Skin                            [7z]
.twz            theWord Compressed Archive Module         [unzip|7z]
.twzip          theWord Compressed Archive Module         [unzip|7z]
.txz            XZ Compressed Tar Archive                 [(un)xz+tar]
.tz             Z Compressed Tar Archive                  [(un)compress+tar]
.tzma           LZMA Compressed Tar Archive               [(un)lzma+tar]
.tzo            LZO Compressed Tar Archive                [(un)lzop+tar]
.u              Unreal Tournament Class Package           [internal]¹
.u3p            U3 Smart Application                      [unzip|7z]
.uax            Unreal Audio Package                      [internal]¹
.udeb           Debian Package File                       [ar+{b(un)zip|(un)lzma|(un)xz|g(un)zip+tar}|dpkg-deb]
.udf            Universal Disk Format File                [{cryptsetup|{gdisk|fdisk}}+mount]
.unitypackage   Unity Package File                        [g(un)zip+tar]
.upx            Ultimate Packer for eXecutables File      [upx]
.usfs           Uncompressed SFS                          [unsquashfs]
.ustar          Uniform Standard Tape Archive Format File [tar]
.utz            UIQ Theme Package                         [unzip|7z]
.uu             Uuencoded File                            [uudecode]
.uue            Uuencoded File                            [uudecode]
.vbox-extpack   Oracle VM VirtualBox Extension Pack       [g(un)zip+tar]
.vc             VeraCrypt Volume                          [veracrypt]
.vdi            VirtualBox Virtual Disk Image             [qemu-nbd+{gdisk|fdisk}+{crypysetup}+mount|7z]
.vfd            Virtual Floppy Disk                       [{cryptsetup|{gdisk|fdisk}}+mount]
.vgz            Video Game Music Compressed File          [g(un)zip]
.vhd            Virtual PC Virtual Hard Disk              [7z]
.vmdk           Virtual Machine Disk File                 [qemu-nbd+{gdisk|fdisk}+{crypysetup}+mount|7z]
.vob            DVD Video Object File                     [avconv|ffmpeg]
.wal            Winamp Skin                               [unzip|7z]
.war            Java Web Archive                          [unzip|7z]
.wav            Steghide Embedded Data                    [steghide]
.wba            WindowBlinds Compressed Skin              [unzip|7z]
.wbm            Webmin Module                             [tar]
.webm           WebM Video File                           [avconv|ffmpeg]
.webz           WEBZ Compressed eBook File                [unzip|7z]
.wgt            Opera Widget File                         [unzip|7z]
.wgz            S60 Web Runtime Widget Package            [unzip|7z]
.whl            A built-package format for Python         [unzip|7z]
.widget         Microsoft Windows Mobile Widget           [unzip|7z]
.wim            Windows Imaging Format File               [7z]
.wlz            Winamp Language Pack                      [unzip|7z]
.wma            Windows Media Audio File                  [avconv|ffmpeg]
.wmd            Windows Media Download Package            [unzip|7z]
.wmga           Web Manga Document                        [unzip|7z]
.wmv            Windows Media Video File                  [avconv|ffmpeg]
.wmz            Compressed Windows Media Player Skin      [unzip|7z]
.wot            Web Of Trust File                         [b(un)zip2+{ar|7z}]
.wrz            Compressed VRML World File                [g(un)zip]
.wsp            SharePoint Solution Package               [7z]
.wsz            Winamp Skin                               [unzip|7z]
.wv             WavPack Audio File                        [wvunpack]
.xap            Silverlight Application Package           [unzip|7z]
.x3d            Compressed X3D Extensible 3D              [g(un)zip]
.xar            eXtensible ARchive                        [xar|7z]
.xbps           Void Linux Package                        [(un)xz+tar]
.xcfbz2         GIMP Image File Bzip2 Compressed          [b(un)zip2]
.xcfgz          GIMP Image File Gz Compressed             [g(un)zip]
.xjt            GIMP Image File Tar Archived              [tar]
.xjtbz2         GIMP Image File Tar/Bzip2 Compressed      [b(un)zip2+tar]
.xjtgz          GIMP Image File Tar/Gzip Compressed       [g(un)zip+tar]
.xlam           Excel Open XML Macro-Enabled Add-In       [unzip|7z]
